review_id,review,product_name,rating,category
1,"I've been using the Instant Pot Duo for a while, and the ease of use really stands out.",Instant Pot Duo,4.4,Kitchen Appliance
2,The Instant Pot Duo exceeded my expectations with its durability.,Instant Pot Duo,4.5,Kitchen Appliance
3,"The Nikon D3500 is a fantastic Camera, particularly for its camera quality.",Nikon D3500,4.2,Camera
4,I love the sound quality of this Kitchen Appliance. The Keurig K-Elite is just amazing.,Keurig K-Elite,4.0,Kitchen Appliance
5,"The display of the Fitbit Charge 4 is superb, especially considering the price.",Fitbit Charge 4,4.9,Fitness Tracker
6,This Samsung Galaxy S21 is worth every penny. The durability is top-notch.,Samsung Galaxy S21,4.0,Smartphone
7,The display on the Instant Pot Duo makes it one of the best Kitchen Appliance in the market.,Instant Pot Duo,4.7,Kitchen Appliance
8,"The Fitbit Charge 4 has a great design, making it a solid choice for anyone in need of a Fitness Tracker.",Fitbit Charge 4,4.1,Fitness Tracker
9,I'm very satisfied with the ease of use of the Dell XPS 13. Highly recommended!,Dell XPS 13,3.8,Laptop
10,"The portability of the Keurig K-Elite is superb, especially considering the price.",Keurig K-Elite,3.3,Kitchen Appliance
11,I love the performance of this Laptop. The Dell XPS 13 is just amazing.,Dell XPS 13,3.8,Laptop
12,"The display of the Dell XPS 13 is superb, especially considering the price.",Dell XPS 13,4.1,Laptop
13,The performance on the Nikon D3500 makes it one of the best Camera in the market.,Nikon D3500,4.4,Camera
14,"I've been using the Samsung Galaxy S21 for a while, and the durability really stands out.",Samsung Galaxy S21,3.2,Smartphone
15,This Samsung Galaxy S21 is worth every penny. The design is top-notch.,Samsung Galaxy S21,3.5,Smartphone
16,This Instant Pot Duo is worth every penny. The portability is top-notch.,Instant Pot Duo,3.3,Kitchen Appliance
17,"In terms of portability, the Sony WH-1000XM4 is the best Electronics I've ever owned.",Sony WH-1000XM4,4.4,Electronics
18,"In terms of sound quality, the Sony WH-1000XM4 is the best Electronics I've ever owned.",Sony WH-1000XM4,4.6,Electronics
19,The display on the Sony WH-1000XM4 makes it one of the best Electronics in the market.,Sony WH-1000XM4,4.3,Electronics
20,"I've been using the Dell XPS 13 for a while, and the battery life really stands out.",Dell XPS 13,4.5,Laptop
21,The design on the Nikon D3500 makes it one of the best Camera in the market.,Nikon D3500,4.2,Camera
22,The Instant Pot Duo exceeded my expectations with its sound quality.,Instant Pot Duo,4.0,Kitchen Appliance
23,This Bose SoundLink is worth every penny. The design is top-notch.,Bose SoundLink,3.6,Speaker
24,I love the design of this Speaker. The Bose SoundLink is just amazing.,Bose SoundLink,4.1,Speaker
25,"The Sony WH-1000XM4 has a great display, making it a solid choice for anyone in need of a Electronics.",Sony WH-1000XM4,4.2,Electronics
26,This iPhone 13 is worth every penny. The performance is top-notch.,iPhone 13,3.3,Smartphone
27,"The sound quality of the Instant Pot Duo is superb, especially considering the price.",Instant Pot Duo,4.8,Kitchen Appliance
28,"In terms of display, the Dyson V11 is the best Home Appliance I've ever owned.",Dyson V11,3.4,Home Appliance
29,"The Sony WH-1000XM4 is a fantastic Electronics, particularly for its design.",Sony WH-1000XM4,4.1,Electronics
30,"The Keurig K-Elite is a fantastic Kitchen Appliance, particularly for its portability.",Keurig K-Elite,3.9,Kitchen Appliance
31,"The iPhone 13 is a fantastic Smartphone, particularly for its battery life.",iPhone 13,4.0,Smartphone
32,The value for money on the Nikon D3500 makes it one of the best Camera in the market.,Nikon D3500,4.5,Camera
33,"I've been using the Dell XPS 13 for a while, and the camera quality really stands out.",Dell XPS 13,4.7,Laptop
34,"I've been using the iPhone 13 for a while, and the sound quality really stands out.",iPhone 13,3.8,Smartphone
35,This Dyson V11 is worth every penny. The camera quality is top-notch.,Dyson V11,3.9,Home Appliance
36,"The Samsung Galaxy S21 has a great durability, making it a solid choice for anyone in need of a Smartphone.",Samsung Galaxy S21,5.0,Smartphone
37,"I've been using the Dyson V11 for a while, and the camera quality really stands out.",Dyson V11,3.0,Home Appliance
38,"I've been using the iPhone 13 for a while, and the performance really stands out.",iPhone 13,3.2,Smartphone
39,I'm very satisfied with the portability of the Dyson V11. Highly recommended!,Dyson V11,3.5,Home Appliance
40,"The Dyson V11 is a fantastic Home Appliance, particularly for its portability.",Dyson V11,4.0,Home Appliance
41,The Dyson V11 exceeded my expectations with its battery life.,Dyson V11,3.9,Home Appliance
42,I'm very satisfied with the sound quality of the Fitbit Charge 4. Highly recommended!,Fitbit Charge 4,4.9,Fitness Tracker
43,The display on the Sony WH-1000XM4 makes it one of the best Electronics in the market.,Sony WH-1000XM4,3.7,Electronics
44,The sound quality on the iPhone 13 makes it one of the best Smartphone in the market.,iPhone 13,3.5,Smartphone
45,"The camera quality of the Bose SoundLink is superb, especially considering the price.",Bose SoundLink,3.7,Speaker
46,I'm very satisfied with the portability of the Fitbit Charge 4. Highly recommended!,Fitbit Charge 4,4.5,Fitness Tracker
47,"In terms of design, the Dell XPS 13 is the best Laptop I've ever owned.",Dell XPS 13,3.0,Laptop
48,The Keurig K-Elite exceeded my expectations with its camera quality.,Keurig K-Elite,3.6,Kitchen Appliance
49,"I've been using the Bose SoundLink for a while, and the design really stands out.",Bose SoundLink,4.2,Speaker
50,"The camera quality of the Keurig K-Elite is superb, especially considering the price.",Keurig K-Elite,4.8,Kitchen Appliance
51,"I've been using the Sony WH-1000XM4 for a while, and the durability really stands out.",Sony WH-1000XM4,3.7,Electronics
52,The design on the Nikon D3500 makes it one of the best Camera in the market.,Nikon D3500,3.0,Camera
53,"The battery life of the Keurig K-Elite is superb, especially considering the price.",Keurig K-Elite,3.6,Kitchen Appliance
54,I'm very satisfied with the camera quality of the Instant Pot Duo. Highly recommended!,Instant Pot Duo,4.6,Kitchen Appliance
55,"In terms of performance, the Bose SoundLink is the best Speaker I've ever owned.",Bose SoundLink,4.5,Speaker
56,"The ease of use of the Fitbit Charge 4 is superb, especially considering the price.",Fitbit Charge 4,4.5,Fitness Tracker
57,I love the display of this Smartphone. The iPhone 13 is just amazing.,iPhone 13,4.7,Smartphone
58,I'm very satisfied with the value for money of the Samsung Galaxy S21. Highly recommended!,Samsung Galaxy S21,4.6,Smartphone
59,The sound quality on the Dell XPS 13 makes it one of the best Laptop in the market.,Dell XPS 13,5.0,Laptop
60,I'm very satisfied with the durability of the Instant Pot Duo. Highly recommended!,Instant Pot Duo,4.1,Kitchen Appliance
61,"The camera quality of the Instant Pot Duo is superb, especially considering the price.",Instant Pot Duo,4.3,Kitchen Appliance
62,I love the camera quality of this Camera. The Nikon D3500 is just amazing.,Nikon D3500,3.1,Camera
